Date,Open,High,Low,Close,Adj Close,Volume
30-06-2022,1465.050049,1482,1455,1461.900024,1461.900024,9165177
01-07-2022,1454,1485,1442.349976,1479.400024,1479.400024,4651635
04-07-2022,1480.25,1492.25,1462,1488,1488,4800224
05-07-2022,1498.800049,1509.949951,1472,1475.949951,1475.949951,7379669
06-07-2022,1482.199951,1500,1470,1491.650024,1491.650024,5209162
07-07-2022,1503.050049,1513.949951,1495.699951,1498.699951,1498.699951,3323472
08-07-2022,1515,1516.949951,1499.949951,1514.449951,1514.449951,3652582
11-07-2022,1495,1499.900024,1466.400024,1473.150024,1473.150024,4702638
12-07-2022,1461.800049,1468.599976,1436,1438.599976,1438.599976,4710356
13-07-2022,1450,1460,1438.599976,1444.449951,1444.449951,5264025
14-07-2022,1451,1452.949951,1414,1428.849976,1428.849976,6157606
15-07-2022,1446,1446,1410.650024,1430.349976,1430.349976,5620018
18-07-2022,1450,1493.599976,1448.050049,1489.900024,1489.900024,5835171
19-07-2022,1471.550049,1486.849976,1470.099976,1484.150024,1484.150024,3418540
20-07-2022,1501.25,1525.800049,1500,1515.300049,1515.300049,5079392
21-07-2022,1517,1535.449951,1503.099976,1532.900024,1532.900024,5008061
22-07-2022,1534,1540,1492.150024,1506.300049,1506.300049,7020642
25-07-2022,1480.099976,1517.150024,1480.099976,1503.599976,1503.599976,7859626
26-07-2022,1496.650024,1496.650024,1445,1451.150024,1451.150024,7268273
27-07-2022,1451,1473,1445,1471.050049,1471.050049,4517285
28-07-2022,1496.400024,1524.449951,1489.849976,1517.400024,1517.400024,6636841
29-07-2022,1532.800049,1555.699951,1528,1549.699951,1549.699951,7009465
01-08-2022,1564,1564,1537.900024,1551.050049,1551.050049,2983249
02-08-2022,1546.550049,1547,1528.349976,1543.599976,1543.599976,4374635
03-08-2022,1549,1570,1539.900024,1566.099976,1566.099976,6011955
04-08-2022,1587.5,1603.849976,1574.949951,1599.900024,1599.900024,7402209
05-08-2022,1608.400024,1625.699951,1602.300049,1616.650024,1616.650024,5361971
08-08-2022,1617,1622,1596,1619.400024,1619.400024,3763409
10-08-2022,1621.199951,1621.199951,1588.099976,1602.449951,1602.449951,4423829
11-08-2022,1630,1631.349976,1616,1619.949951,1619.949951,3462090
12-08-2022,1613.300049,1614,1590.150024,1594.099976,1594.099976,3562286
16-08-2022,1609,1609,1591.099976,1596.449951,1596.449951,3004430
17-08-2022,1596.449951,1612,1585,1606.25,1606.25,4067324
